"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.435651958E0,-3.727249146E-2,2.827619934E-1,9.738299103E0
2.445624958E0,-5.119354248E-2,2.700384521E-1,9.735305328E0
2.455597958E0,-2.589614868E-2,2.547702026E-1,9.701026611E0
2.465570958E0,1.781295776E-2,2.492317200E-1,9.728569336E0
2.475543958E0,3.652404785E-2,2.481838989E-1,9.759105835E0
2.485516958E0,6.376739502E-2,2.785707092E-1,9.713450775E0
2.495489833E0,1.332229614E-2,2.739303589E-1,9.716294861E0
2.505462833E0,1.960922241E-2,2.656974792E-1,9.725276184E0
2.515435833E0,-1.945953369E-2,2.639012146E-1,9.717192993E0
2.525408833E0,-5.538482666E-2,2.492317200E-1,9.730964355E0
2.535381833E0,-7.349716187E-2,2.538720703E-1,9.726623383E0
2.545354833E0,-6.017486572E-2,2.796185303E-1,9.729018402E0
2.555327833E0,-4.011657715E-2,2.829116821E-1,9.750872955E0
2.565300833E0,-5.882766724E-2,2.908451843E-1,9.732012177E0
2.575273833E0,1.422042847E-2,2.845582581E-1,9.713450775E0
2.585246833E0,3.727249146E-2,2.857557678E-1,9.717192993E0
2.595219833E0,6.182144165E-2,2.996768188E-1,9.727222137E0
2.605192833E0,6.810836792E-2,2.963836670E-1,9.734407196E0
2.615165833E0,5.658233643E-2,2.926414490E-1,9.729168091E0
2.625139833E0,6.511459351E-2,2.860551453E-1,9.712103577E0
2.635112833E0,3.817062378E-2,2.772235107E-1,9.719887390E0
2.645085833E0,-1.706451416E-2,2.683918762E-1,9.729766846E0
2.655058833E0,-2.215393066E-2,2.776725769E-1,9.734107819E0
2.665031833E0,-3.876937866E-2,2.874023438E-1,9.720935211E0
2.675004833E0,-6.885681152E-3,3.034190369E-1,9.736652527E0
2.684977833E0,-7.634124756E-3,3.191363525E-1,9.739945679E0
2.694950833E0,1.826202393E-2,3.505709839E-1,9.731563110E0
2.704923833E0,6.391708374E-2,3.451821899E-1,9.735155640E0
2.714896833E0,6.466552734E-2,3.388952637E-1,9.705517273E0
2.724869833E0,7.903564453E-2,3.426374817E-1,9.704469452E0
2.734842833E0,6.047424316E-2,3.430865479E-1,9.736951904E0
2.744815833E0,4.176315308E-2,3.453318787E-1,9.755812683E0
2.754788833E0,2.514770508E-2,3.456312561E-1,9.740095367E0
2.764761833E0,-9.280700684E-3,3.444337463E-1,9.703421631E0
2.774734833E0,-3.592529297E-3,3.384461975E-1,9.711953888E0
2.784707833E0,1.092727661E-2,3.288661194E-1,9.744885406E0
2.794680833E0,3.008743286E-2,3.240760803E-1,9.720935211E0
2.804653833E0,4.101470947E-2,3.225791931E-1,9.687704315E0
2.814626833E0,6.316864014E-2,3.387455750E-1,9.734407196E0
2.824599833E0,8.307723999E-2,3.709286499E-1,9.752669220E0
2.834573833E0,6.870712280E-2,3.921844482E-1,9.731563110E0
2.844546833E0,4.685256958E-2,4.029620361E-1,9.732461243E0
2.854519833E0,3.832031250E-2,4.011657715E-1,9.734856262E0
2.864492833E0,4.221221924E-2,3.968247986E-1,9.716145172E0
2.874465833E0,3.667373657E-2,4.010160828E-1,9.691596222E0
2.884438833E0,5.239105225E-2,4.041595459E-1,9.723479919E0
2.894411833E0,6.421646118E-2,3.890409851E-1,9.747579803E0
2.904384833E0,1.086740112E-1,3.838018799E-1,9.729617157E0
2.914357833E0,9.699829102E-2,3.927832031E-1,9.731263733E0
2.924330833E0,1.016386414E-1,4.038601685E-1,9.731413422E0
2.934303833E0,9.610015869E-2,4.246669006E-1,9.724078674E0
2.944276833E0,6.242019653E-2,4.044589233E-1,9.714049530E0
2.954249833E0,3.038681030E-2,4.062551880E-1,9.691895599E0
2.964222833E0,1.541793823E-2,3.965254211E-1,9.695039063E0
2.974195833E0,-2.245330811E-2,3.700305176E-1,9.715247040E0
2.984168833E0,-5.837860107E-3,3.969744873E-1,9.732760620E0
2.994141833E0,5.239105225E-3,4.442761230E-1,9.757459259E0
3.004114833E0,2.769241333E-2,5.234614563E-1,9.757309570E0
3.014087833E0,2.170486450E-2,5.533992004E-1,9.790091400E0
3.024060833E0,7.229965210E-2,5.206173706E-1,9.746531982E0
3.034034833E0,1.392105103E-1,4.864883423E-1,9.656419373E0
3.044007833E0,1.151106262E-1,4.336482239E-1,9.667196960E0
3.053980833E0,6.002517700E-2,4.005670166E-1,9.690997467E0
3.063953833E0,2.320175171E-2,4.123924255E-1,9.690249023E0
3.073926833E0,-5.388793945E-3,4.320016479E-1,9.766739960E0
3.083899833E0,-2.739303589E-2,4.706213379E-1,9.808054047E0
3.093872833E0,-6.885681152E-3,5.284011841E-1,9.780661011E0
3.103845833E0,1.377136230E-2,5.575904846E-1,9.732161865E0
3.113818833E0,7.574249268E-2,5.734574890E-1,9.687255249E0
3.123791833E0,1.279838562E-1,5.764512634E-1,9.687255249E0
3.133764833E0,1.422042847E-1,5.679190063E-1,9.699529724E0
3.143737833E0,1.169068909E-1,5.909710693E-1,9.719887390E0
3.153710833E0,6.571334839E-2,6.002517700E-1,9.760003967E0
3.163683833E0,5.194198608E-2,5.664221191E-1,9.776918793E0
3.173656833E0,5.194198608E-2,5.384303284E-1,9.730365601E0
3.183629833E0,3.038681030E-2,5.451663208E-1,9.735455017E0
3.193602833E0,7.783813477E-3,5.556445312E-1,9.768236847E0
3.203575833E0,5.987548828E-3,5.843847656E-1,9.711055756E0
3.213548833E0,6.391708374E-2,5.927673340E-1,9.695637817E0
3.223521833E0,1.279838562E-1,5.900729370E-1,9.708061981E0
3.233494833E0,1.826202393E-1,6.282435608E-1,9.731712799E0
3.243468833E0,2.101629639E-1,6.435118103E-1,9.740095367E0
3.253441833E0,1.716929626E-1,6.638694763E-1,9.714498596E0
3.263414833E0,1.255888367E-1,6.631210327E-1,9.751621399E0
3.273387833E0,8.891510010E-2,6.339317322E-1,9.766739960E0
3.283360833E0,3.547622681E-2,6.330335999E-1,9.722881165E0
3.293333833E0,5.688171387E-2,6.465055847E-1,9.703421631E0
3.303306833E0,3.607498169E-2,6.625222778E-1,9.730814667E0
3.313279833E0,7.828720093E-2,6.728507996E-1,9.744735718E0
3.323252833E0,1.309776306E-1,6.631210327E-1,9.721384277E0
