"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.291041958E0,-1.665000245E-2,2.570550889E-2,-1.796215653E0
2.301015958E0,-1.519005653E-2,1.688378677E-2,-1.799729705E0
2.310988958E0,-1.888567954E-2,1.264492609E-2,-1.797163725E0
2.320961958E0,-2.551987953E-2,1.437038742E-2,-1.804530621E0
2.330934958E0,-3.168425336E-2,1.487492397E-2,-1.805518031E0
2.340907958E0,-3.453010693E-2,1.147513278E-2,-1.804748058E0
2.350880958E0,-3.263145685E-2,9.098072536E-3,-1.805223942E0
2.360853958E0,-2.952301502E-2,1.656531170E-2,-1.807688951E0
2.370826958E0,-2.314507402E-2,1.543961838E-2,-1.805517554E0
2.380799958E0,-1.816576347E-2,1.800850406E-2,-1.806649327E0
2.390772958E0,-1.890178770E-2,2.165555954E-2,-1.807121515E0
2.400745958E0,-1.764877141E-2,2.000040561E-2,-1.808038473E0
2.410718958E0,-2.527128533E-2,1.843736134E-2,-1.810773134E0
2.420691958E0,-2.642976120E-2,1.891726442E-2,-1.811392903E0
2.430664958E0,-2.837454900E-2,2.131006494E-2,-1.817480683E0
2.440637958E0,-2.856043726E-2,1.718989015E-2,-1.820367336E0
2.450610958E0,-2.942266688E-2,1.790753007E-2,-1.822580099E0
2.460583958E0,-2.504948899E-2,1.317961980E-2,-1.829710722E0
2.470556958E0,-2.744262479E-2,1.509485859E-2,-1.828365207E0
2.480529958E0,-2.393790521E-2,2.500634268E-2,-1.830385566E0
2.490502833E0,-2.440447174E-2,2.052328736E-2,-1.835940361E0
2.500475833E0,-2.561620995E-2,1.654585451E-2,-1.839564919E0
2.510448833E0,-2.816415578E-2,2.587905899E-2,-1.844610214E0
2.520422833E0,-2.641765401E-2,1.684987918E-2,-1.852083325E0
2.530395833E0,-2.938833460E-2,1.337065361E-2,-1.857300282E0
2.540368833E0,-2.620825544E-2,1.417466253E-2,-1.864818931E0
2.550341833E0,-2.236434631E-2,1.451277267E-2,-1.869133830E0
2.560314833E0,-2.323919535E-2,1.648191363E-2,-1.874122977E0
2.570287833E0,-2.656200901E-2,8.252969943E-3,-1.878018975E0
2.580260833E0,-2.381442860E-2,1.184637379E-2,-1.883475780E0
2.590233833E0,-2.675748616E-2,1.565948874E-2,-1.884606123E0
2.600206833E0,-2.664270252E-2,1.449675020E-2,-1.888521671E0
2.610179833E0,-2.967575379E-2,1.913376153E-2,-1.892004251E0
2.620152833E0,-2.801873535E-2,1.539015677E-2,-1.896540761E0
2.630125833E0,-2.786883339E-2,1.657192782E-2,-1.898816824E0
2.640098833E0,-2.562458813E-2,2.126095816E-2,-1.905289412E0
2.650071833E0,-2.449279092E-2,1.089580264E-2,-1.912001133E0
2.660044833E0,-2.226878516E-2,2.115349844E-2,-1.917700648E0
2.670017833E0,-2.204369009E-2,1.006791461E-2,-1.923682928E0
2.679990833E0,-2.122849785E-2,1.256143209E-2,-1.926752687E0
2.689963833E0,-2.488121204E-2,1.310651004E-2,-1.933691263E0
2.699936833E0,-2.542369813E-2,1.297335140E-2,-1.938304901E0
2.709909833E0,-2.848116681E-2,2.099105716E-2,-1.940102458E0
2.719882833E0,-3.087082133E-2,1.406310964E-2,-1.946480155E0
2.729856833E0,-3.101107851E-2,1.725753397E-2,-1.952546716E0
2.739829833E0,-2.906111255E-2,1.672596484E-2,-1.956699014E0
2.749802833E0,-3.021807969E-2,1.821124926E-2,-1.963096380E0
2.759775833E0,-2.588298731E-2,1.670470089E-2,-1.970434785E0
2.769748833E0,-2.962235734E-2,1.322049648E-2,-1.976285934E0
2.779721833E0,-2.981383912E-2,1.413342729E-2,-1.981956124E0
2.789694833E0,-3.280861676E-2,1.611933485E-2,-1.989913940E0
2.799667833E0,-3.294657171E-2,1.480106916E-2,-1.993574142E0
2.809640833E0,-2.968808822E-2,1.085338183E-2,-1.997081518E0
2.819613833E0,-2.311966754E-2,1.927642897E-2,-2.003226042E0
2.829586833E0,-1.991848834E-2,1.971015707E-2,-2.010790825E0
2.839559833E0,-2.310389653E-2,1.299499441E-2,-2.015095472E0
2.849532833E0,-2.758767642E-2,1.291182544E-2,-2.018769026E0
2.859505833E0,-3.042367660E-2,2.101236209E-2,-2.024085760E0
2.869478833E0,-3.925126418E-2,1.451569889E-2,-2.030868769E0
2.879451833E0,-3.825604171E-2,1.506590750E-2,-2.037674904E0
2.889424833E0,-3.411082551E-2,1.477124449E-2,-2.041639566E0
2.899397833E0,-3.346128017E-2,1.246308256E-2,-2.045871496E0
2.909370833E0,-2.889964730E-2,1.970977709E-2,-2.048424244E0
2.919343833E0,-2.736619860E-2,1.774276607E-2,-2.053191185E0
2.929316833E0,-2.511839382E-2,1.636195183E-2,-2.057040691E0
2.939290833E0,-2.710830793E-2,2.265180275E-2,-2.065621138E0
2.949263833E0,-3.196939453E-2,1.595491171E-2,-2.070572376E0
2.959236833E0,-3.592232615E-2,1.638341695E-2,-2.081111908E0
2.969209833E0,-3.793744743E-2,1.974162459E-2,-2.092862129E0
2.979182833E0,-3.465962783E-2,1.028447133E-2,-2.101505041E0
2.989155833E0,-2.625379339E-2,1.136875525E-2,-2.110393763E0
2.999128833E0,-1.817802526E-2,1.646151952E-2,-2.114767790E0
3.009101833E0,-1.591762155E-2,1.638280228E-2,-2.121366739E0
3.019074833E0,-2.595347911E-2,1.046445873E-2,-2.126644850E0
3.029047833E0,-2.935927920E-2,1.573499478E-2,-2.136667728E0
3.039020833E0,-4.351637885E-2,2.046796493E-2,-2.144794226E0
3.048993833E0,-5.088049173E-2,1.842594519E-2,-2.152748346E0
3.058966833E0,-4.440155625E-2,1.981744543E-2,-2.161185741E0
3.068939833E0,-2.809499763E-2,1.781066880E-2,-2.168256760E0
3.078912833E0,-1.590837166E-2,1.740773022E-2,-2.179013968E0
3.088885833E0,-6.195995491E-3,1.403993275E-2,-2.186779737E0
3.098858833E0,-3.101429902E-4,1.191712823E-2,-2.191157103E0
3.108831833E0,-1.502676308E-2,1.179024391E-2,-2.200280905E0
3.118804833E0,-2.885735780E-2,1.325098798E-2,-2.207095861E0
3.128778833E0,-4.489511997E-2,1.645386964E-2,-2.209202051E0
3.138751833E0,-4.881129786E-2,1.728610694E-2,-2.216404438E0
3.148724833E0,-4.525989294E-2,1.695641130E-2,-2.220355988E0
3.158697833E0,-3.824086487E-2,1.984833926E-2,-2.230974674E0
3.168670833E0,-3.058949672E-2,1.866029575E-2,-2.236016750E0
3.178643833E0,-2.524399944E-2,1.658329368E-2,-2.247353792E0
3.188616833E0,-2.135181613E-2,1.266393065E-2,-2.257729530E0
3.198589833E0,-2.481445856E-2,1.127296127E-2,-2.262288332E0
3.208562833E0,-3.011803702E-2,7.774361409E-3,-2.263854980E0
3.218535833E0,-3.282061219E-2,1.079891343E-2,-2.271167517E0
3.228508833E0,-3.360599279E-2,1.725951955E-2,-2.272322655E0
3.238481833E0,-3.749394044E-2,2.086437307E-2,-2.275388479E0
3.248454833E0,-3.486380726E-2,2.367739379E-2,-2.275043011E0
3.258427833E0,-2.972204052E-2,1.643093303E-2,-2.280125856E0
3.268400833E0,-2.928581089E-2,2.005690336E-2,-2.285107851E0
3.278373833E0,-3.265018389E-2,2.379838005E-2,-2.292059898E0
3.288346833E0,-3.321085870E-2,1.460860390E-2,-2.297847033E0
3.298319833E0,-3.313655779E-2,1.569331065E-2,-2.301132917E0
3.308292833E0,-3.486565500E-2,1.304422412E-2,-2.307257175E0
3.318265833E0,-3.624410555E-2,1.374117378E-2,-2.311856031E0
3.328238833E0,-3.438675031E-2,1.542646717E-2,-2.310800791E0
3.338211833E0,-3.605175763E-2,1.653141156E-2,-2.313616276E0
3.348185833E0,-3.245291114E-2,2.067710459E-2,-2.317960024E0
3.358158833E0,-3.276636451E-2,1.796441153E-2,-2.320068121E0
3.368131833E0,-3.032861277E-2,2.151760831E-2,-2.323312044E0
3.378104833E0,-2.814375609E-2,1.460963394E-2,-2.328319073E0
3.388077833E0,-2.466007508E-2,1.727465913E-2,-2.332353115E0
3.398050833E0,-2.234339155E-2,2.133411542E-2,-2.338177919E0
3.408023833E0,-2.133973315E-2,1.328056399E-2,-2.343330383E0
3.417996833E0,-2.248356119E-2,1.472559478E-2,-2.346637249E0
3.427969833E0,-2.386920154E-2,1.840722375E-2,-2.352957726E0
3.437942833E0,-3.090740368E-2,1.610625349E-2,-2.360894680E0
3.447915833E0,-4.019200057E-2,1.275082864E-2,-2.363922358E0
3.457888833E0,-4.349271953E-2,1.539747790E-2,-2.364973545E0
3.467861833E0,-4.595869407E-2,1.342581678E-2,-2.369162321E0
3.477834833E0,-4.295651242E-2,1.498909201E-2,-2.373056412E0
3.487807833E0,-3.849723563E-2,1.773587987E-2,-2.376675367E0
3.497780625E0,-3.118952177E-2,1.644717529E-2,-2.379935980E0
3.507753625E0,-2.753335238E-2,2.010068670E-2,-2.384374857E0
3.517726625E0,-2.612347342E-2,1.938696206E-2,-2.386276960E0
3.527699625E0,-2.907265909E-2,1.128349546E-2,-2.390032768E0
3.537672625E0,-2.851019986E-2,1.863541827E-2,-2.394312620E0
3.547646625E0,-2.817782201E-2,2.074147761E-2,-2.400483847E0
3.557619625E0,-3.132381290E-2,1.787804440E-2,-2.403718472E0
3.567592625E0,-2.826120146E-2,2.251309529E-2,-2.413758039E0
3.577565625E0,-3.268897533E-2,1.449085679E-2,-2.416817427E0
3.587538625E0,-3.671149537E-2,1.090935990E-2,-2.419868231E0
3.597511625E0,-4.424717650E-2,2.677263692E-3,-2.422475815E0
3.607484625E0,-4.760557786E-2,1.346845739E-2,-2.423013687E0
3.617457625E0,-4.223584756E-2,7.996194065E-3,-2.417638302E0
3.627430625E0,-3.567348048E-2,1.279320102E-2,-2.417130470E0
3.637403625E0,-2.789838240E-2,2.028786764E-2,-2.411133766E0
3.647376625E0,-2.140587568E-2,1.992511377E-2,-2.407724380E0
3.657349625E0,-2.394519933E-2,2.717610449E-2,-2.404534578E0
3.667322625E0,-2.713167481E-2,1.422081515E-2,-2.404306412E0
3.677295625E0,-3.431129083E-2,1.331001334E-2,-2.400975466E0
3.687268625E0,-3.843785450E-2,2.090808749E-2,-2.403084040E0
3.697241625E0,-4.152499139E-2,1.127916295E-2,-2.403805256E0
3.707214625E0,-3.247566149E-2,7.820821367E-3,-2.402390718E0
3.717187625E0,-2.738183364E-2,2.210069075E-2,-2.401319027E0
3.727160625E0,-1.810930856E-2,1.687365957E-2,-2.400545597E0
3.737133625E0,-1.917723566E-2,1.130924933E-2,-2.399753571E0
3.747106625E0,-2.938355692E-2,2.899085917E-2,-2.399904728E0
3.757080625E0,-3.867319599E-2,1.944688894E-2,-2.399626017E0
3.767053625E0,-4.487613216E-2,1.281759236E-2,-2.402039528E0
3.777026625E0,-4.687483236E-2,2.161427960E-2,-2.402751684E0
